Keyword,Total Papers,Company Papers,University Papers
Augmented Reality (AR) and Virtual Reality (VR),1060,545,515
Autonomous Vehicles and Robotics,1896,862,1034
Core Vision Algorithms,2213,943,1270
Data Collection and Management,1784,845,939
Datasets and Benchmarks,961,421,540
Ethics and Fairness in Vision,90,33,57
Generative Models and Creativity,754,389,365
Human-Centric Vision,352,168,184
Industrial and Manufacturing Applications,956,421,535
Mathematical Foundations,1931,837,1094
Medical Imaging and Healthcare,181,74,107
Miscellaneous,2086,905,1181
Natural Language Processing,1431,692,739
Natural Scenes and Environmental Analysis,398,194,204
Scene Understanding and Reconstruction,1172,560,612
Security and Surveillance,298,126,172
Signal and Statistical Processing,703,288,415
Tools and Frameworks,682,303,379
Video Analysis and Action Recognition,1205,554,651
Vision for Social Good,211,79,132
